U Distrito,Partido candidato de la coalición,Estado,Numero distrito,Cabecera Distrital,MEDIA,RANGO MENOR,RANGO MAYOR,PROBABILIDAD FINAL
E1D1,PVEM,AGUASCALIENTES,1,JESUS MARIA,0.095655443,0,0.238251762,0.21%
E15D30,PRD,MÉXICO,30,CHIMALHUACAN,0.161392553,0,0.363863942,0.20%
E19D6,MC,NUEVO LEÓN,6,MONTERREY,0.143707669,0.086075076,0.212381140,0.20%
E5D2,PAN,COAHUILA,2,SAN PEDRO,0.093945218,0,0.243176424,0.19%
E11D10,PVEM,GUANAJUATO,10,URIANGATO,0.122603488,0.037863630,0.223577257,0.18%
E2D2,PAN,BAJA CALIFORNIA,2,MEXICALI,0.267885593,0.147480307,0.411357341,0.17%
E1D3,PVEM,AGUASCALIENTES,3,AGUASCALIENTES,0.097227320,0,0.253404448,0.16%
E22D2,PRI,QUERÉTARO,2,SAN JUAN DEL RIO,0.153681753,0.026259376,0.305514879,0.14%
E12D8,PRI,GUERRERO,8,AYUTLA DE LOS LIBRES,0.283532949,0.159748207,0.431031568,0.14%
E15D28,PRI,MÉXICO,28,ZUMPANGO DE OCAMPO,0.155245250,0.026146703,0.309075656,0.14%
E22D1,PVEM,QUERÉTARO,1,CADEREYTA DE MONTES,0.088856126,0,0.235460595,0.12%
E12D4,PRD,GUERRERO,4,ACAPULCO,0.235927418,0.071069688,0.432367518,0.10%
E7D11,RSP,CHIAPAS,11,LAS MARGARITAS,0.111555023,0,0.324912492,0.10%
E9D5,PRI,CIUDAD DE MÉXICO,5,TLALPAN,0.329956106,0.239439521,0.437813270,0.09%
E14D15,MC,JALISCO,15,LA BARCA,0.176603826,0.098563545,0.269594555,0.08%
E12D1,MC,GUERRERO,1,CD. ALTAMIRANO,0.096989396,0,0.266169194,0.08%
E9D18,PRD,CIUDAD DE MÉXICO,18,IZTAPALAPA,0.297524652,0.210818460,0.400841451,0.08%
E28D2,PAN,TAMAULIPAS,2,REYNOSA,0.262144462,0.208234788,0.326381802,0.07%
E26D6,PRI,SONORA,6,CD. OBREGON,0.221526160,0.074292836,0.396965487,0.07%
E13D6,PRI,HIDALGO,6,PACHUCA DE SOTO,0.251372521,0.130311614,0.395625488,0.07%
E18D2,PRD,NAYARIT,2,TEPIC,0.274684075,0.170269195,0.399102078,0.06%
E8D9,ES,CHIHUAHUA,9,HIDALGO DEL PARRAL,0.048863505,0,0.177239030,0.05%
E19D1,PVEM,NUEVO LEÓN,1,SANTA CATARINA,0.057015184,0,0.163897490,0.05%
E32D1,PRI,ZACATECAS,1,FRESNILLO,0.261071578,0.147129594,0.396841826,0.05%
E8D3,PRD,CHIHUAHUA,3,JUAREZ,0.270030685,0.167980311,0.391631205,0.05%
E23D1,PAN,QUINTANA ROO,1,PLAYA DEL CARMEN,0.232504832,0.115426765,0.372011954,0.05%
E5D7,PAN,COAHUILA,7,SALTILLO,0.159535653,0.076722515,0.258213593,0.05%
E19D6,PVEM,NUEVO LEÓN,6,MONTERREY,0.060223894,0,0.176117866,0.05%
E28D3,PAN,TAMAULIPAS,3,RIO BRAVO,0.243307261,0.222109904,0.268565469,0.05%
E16D2,RSP,MICHOACÁN,2,PURUANDIRO,0.078033588,0,0.195976827,0.04%
E12D2,PRI,GUERRERO,2,IGUALA,0.124120991,0,0.256922432,0.04%
E13D4,PAN,HIDALGO,4,TULANCINGO DE BRAVO,0.230326240,0.103834649,0.381050267,0.04%
E21D5,PRD,PUEBLA,5,SAN MARTIN TEXMELUCAN DE LABASTIDA,0.263572180,0.161976054,0.384631431,0.03%
E19D9,ES,NUEVO LEÓN,9,LINARES,0.043651163,0,0.159993340,0.03%
E22D2,PAN,QUERÉTARO,2,SAN JUAN DEL RIO,0.256816349,0.199313604,0.325335096,0.03%
